variacion,demanda_original,demanda_modificada,capacidad_total,diferencia_absoluta,diferencia_porcentual,utilizacion_original,utilizacion_modificada
-20,92,98.79999999999998,378,6.799999999999983,7.391304347826068,24.33862433862434,26.137566137566132
-10,92,95.00000000000001,378,3.000000000000014,3.2608695652174067,24.33862433862434,25.132275132275133
0,92,92.0,378,0.0,0.0,24.33862433862434,24.33862433862434
10,92,90.60000000000001,378,1.3999999999999915,-1.5217391304347734,24.33862433862434,23.96825396825397
20,92,89.60000000000002,378,2.3999999999999773,-2.608695652173888,24.33862433862434,23.70370370370371
